epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1023.94,0.73845,1.31304,1.06979,0.92742,0.93804,0.97257,0.82143,0.57583,0.49542,0.89938,0.00033291,0.00033291,0.00033291
2,2040.89,0.69363,0.62017,1.01279,0.96755,0.95734,0.98579,0.86783,0.51287,0.35091,0.86976,0.000644257,0.000644257,0.000644257
3,3053.74,0.68155,0.5621,0.99808,0.92558,0.94739,0.98141,0.868,0.49962,0.39178,0.86149,0.000933604,0.000933604,0.000933604
4,4079.82,0.64178,0.50537,0.97821,0.96633,0.97157,0.99052,0.88628,0.49095,0.32847,0.8622,0.000901,0.000901,0.000901
5,5114.71,0.61868,0.45679,0.96796,0.98582,0.98412,0.99222,0.90062,0.46091,0.27175,0.84566,0.000868,0.000868,0.000868
6,6139.16,0.5942,0.42917,0.9579,0.98287,0.98639,0.99236,0.90646,0.4433,0.25267,0.84144,0.000835,0.000835,0.000835
7,7165.42,0.57446,0.40341,0.94951,0.98461,0.98635,0.99351,0.91347,0.42865,0.24382,0.83305,0.000802,0.000802,0.000802
8,8183.63,0.55267,0.382,0.94071,0.99006,0.99151,0.99386,0.91872,0.41553,0.22421,0.8248,0.000769,0.000769,0.000769
9,9195.14,0.54732,0.3687,0.93754,0.98975,0.98991,0.99413,0.92063,0.40605,0.22331,0.82599,0.000736,0.000736,0.000736
10,10210.3,0.53526,0.35613,0.93528,0.99334,0.99071,0.99379,0.93143,0.38897,0.20901,0.81673,0.000703,0.000703,0.000703
11,11222,0.52657,0.34414,0.93198,0.99472,0.99115,0.99453,0.93168,0.38225,0.2022,0.81399,0.00067,0.00067,0.00067
12,12246.1,0.51752,0.34129,0.92892,0.99039,0.9903,0.99401,0.93183,0.38179,0.20179,0.81788,0.000637,0.000637,0.000637
13,1097.3,0.51928,0.34337,0.92888,0.99348,0.9926,0.99396,0.93273,0.38197,0.19986,0.8146,0.000604,0.000604,0.000604
14,2194.77,0.50729,0.3267,0.927,0.99228,0.99186,0.99425,0.93495,0.37149,0.19369,0.81201,0.000571,0.000571,0.000571
15,3289.11,0.50034,0.32195,0.92406,0.99123,0.99003,0.99417,0.93664,0.37501,0.19316,0.81482,0.000538,0.000538,0.000538
16,4377.89,0.48669,0.30853,0.91561,0.99415,0.99134,0.99388,0.93819,0.36854,0.19041,0.81179,0.000505,0.000505,0.000505
17,5473.52,0.48655,0.30421,0.91942,0.99241,0.99367,0.99475,0.94252,0.35925,0.18283,0.80881,0.000472,0.000472,0.000472
18,6567.64,0.47491,0.29341,0.91245,0.99581,0.99228,0.99468,0.94314,0.35862,0.17753,0.80935,0.000439,0.000439,0.000439
19,7664.79,0.47109,0.28938,0.91183,0.99492,0.99332,0.9948,0.94569,0.34774,0.17292,0.80363,0.000406,0.000406,0.000406
20,8753.36,0.46011,0.28164,0.90653,0.9953,0.99332,0.99441,0.94771,0.35066,0.17052,0.80634,0.000373,0.000373,0.000373
21,9858.87,0.36902,0.21474,0.83353,0.99528,0.99352,0.99455,0.94391,0.35128,0.17775,0.8059,0.00034,0.00034,0.00034
22,10949.7,0.35691,0.20558,0.82524,0.99545,0.99395,0.99478,0.94877,0.34445,0.17086,0.80465,0.000307,0.000307,0.000307
23,12041.5,0.3436,0.19506,0.82428,0.99601,0.9923,0.99452,0.94767,0.33948,0.16642,0.80176,0.000274,0.000274,0.000274
24,1080.44,0.43596,0.26561,0.89909,0.99378,0.99191,0.99479,0.95203,0.33397,0.16074,0.80063,0.000241,0.000241,0.000241
25,2160.45,0.41575,0.24806,0.89463,0.99616,0.99375,0.9948,0.95473,0.33149,0.15472,0.80104,0.000208,0.000208,0.000208
26,3240.34,0.40963,0.24159,0.89123,0.99645,0.99258,0.99483,0.9539,0.33218,0.15434,0.80063,0.000175,0.000175,0.000175
27,4320.7,0.39645,0.23111,0.88452,0.99615,0.99282,0.99479,0.95474,0.33004,0.15222,0.80039,0.000142,0.000142,0.000142
28,5400.78,0.39274,0.2258,0.88732,0.9941,0.9946,0.99474,0.95572,0.32917,0.1502,0.80013,0.000109,0.000109,0.000109
29,6480.58,0.38039,0.21793,0.88172,0.99579,0.9941,0.99483,0.95646,0.32639,0.14795,0.79887,7.6e-05,7.6e-05,7.6e-05
30,7560.55,0.37471,0.2146,0.88007,0.99602,0.99401,0.99477,0.95649,0.32558,0.14733,0.79931,4.3e-05,4.3e-05,4.3e-05
