epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,941.281,1.33247,2.22367,1.40562,0.65015,0.73461,0.7261,0.47642,1.16047,1.1957,1.43767,0.000277461,0.000277461,0.000277461
2,1871.14,1.16244,1.21775,1.34563,0.67509,0.74208,0.75885,0.4994,1.1678,1.05757,1.49459,0.000533145,0.000533145,0.000533145
3,2798.15,1.11424,1.11,1.34359,0.72006,0.73142,0.79196,0.54868,1.0665,0.99557,1.43517,0.000766837,0.000766837,0.000766837
4,3724.91,1.06468,1.01256,1.31387,0.73008,0.82815,0.85636,0.61144,1.02359,0.85744,1.39301,0.00073404,0.00073404,0.00073404
5,4651.29,1.01944,0.92731,1.29205,0.77733,0.82631,0.8644,0.62901,0.9672,0.77812,1.37826,0.000701053,0.000701053,0.000701053
6,5577.69,0.97976,0.86696,1.26859,0.77468,0.83352,0.87106,0.64071,0.94088,0.78644,1.36745,0.000668066,0.000668066,0.000668066
7,6504.06,0.9443,0.81471,1.24839,0.828,0.83228,0.89919,0.67663,0.90386,0.71554,1.33307,0.000635079,0.000635079,0.000635079
8,7430.56,0.90968,0.7712,1.21746,0.82318,0.8518,0.90669,0.68409,0.89622,0.67931,1.32278,0.000602092,0.000602092,0.000602092
9,8356.73,0.87523,0.73708,1.19401,0.8537,0.84811,0.91533,0.70197,0.86767,0.65227,1.30928,0.000569106,0.000569106,0.000569106
10,9282.7,0.86147,0.69218,1.18417,0.84148,0.86028,0.91764,0.70609,0.84613,0.61589,1.29484,0.000536119,0.000536119,0.000536119
11,10208.9,0.82947,0.67325,1.16545,0.84445,0.89265,0.93556,0.7305,0.82581,0.58573,1.27425,0.000503132,0.000503132,0.000503132
12,11134.5,0.81494,0.64274,1.15609,0.86105,0.88825,0.92972,0.72788,0.81975,0.58341,1.27772,0.000470145,0.000470145,0.000470145
13,12060.2,0.79005,0.62221,1.13957,0.87372,0.88445,0.94068,0.74209,0.78918,0.5622,1.24683,0.000437158,0.000437158,0.000437158
14,12986.1,0.77458,0.60791,1.12955,0.8899,0.88225,0.94003,0.74617,0.77874,0.54047,1.24066,0.000404172,0.000404172,0.000404172
15,13912.2,0.75227,0.57013,1.11251,0.87433,0.88566,0.93726,0.75247,0.75714,0.53791,1.22353,0.000371185,0.000371185,0.000371185
16,14861.8,0.69775,0.48088,1.1376,0.88432,0.88481,0.93813,0.7473,0.76948,0.55341,1.23835,0.000338198,0.000338198,0.000338198
17,15785.8,0.66955,0.4514,1.11414,0.90511,0.88024,0.94643,0.75978,0.74953,0.5239,1.22472,0.000305211,0.000305211,0.000305211
18,16709.3,0.65302,0.43573,1.10583,0.88143,0.89428,0.94713,0.76518,0.73527,0.5168,1.21079,0.000272224,0.000272224,0.000272224
19,17632.6,0.63178,0.41955,1.08248,0.87766,0.89969,0.94624,0.77198,0.71812,0.51254,1.20421,0.000239238,0.000239238,0.000239238
20,18556,0.6099,0.40009,1.06887,0.89723,0.89276,0.94791,0.77829,0.70682,0.5086,1.19255,0.000206251,0.000206251,0.000206251
21,19479.4,0.58977,0.38042,1.05015,0.90796,0.8845,0.94718,0.77779,0.70066,0.50166,1.19545,0.000173264,0.000173264,0.000173264
22,20402.7,0.57127,0.36036,1.03289,0.91079,0.89141,0.95031,0.7823,0.69258,0.48552,1.19197,0.000140277,0.000140277,0.000140277
23,21325.9,0.55176,0.34279,1.02271,0.88867,0.90831,0.94767,0.78665,0.68034,0.49028,1.18176,0.00010729,0.00010729,0.00010729
24,22249.1,0.53431,0.32936,1.0073,0.90404,0.89488,0.94747,0.78998,0.67228,0.4932,1.18015,7.43036e-05,7.43036e-05,7.43036e-05
25,23172,0.5155,0.31162,0.99409,0.89922,0.90198,0.94781,0.79282,0.66548,0.49242,1.17815,4.13168e-05,4.13168e-05,4.13168e-05
